192.168.206.1, 2013-11-06 21:56:17, GET, /, HTTP/1.1, 303, 0.002425
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.161690
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003856
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003006
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001328
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002100
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001534
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001456
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001183
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001480
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002235
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001265
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001277
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004869
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002809
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002457
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001305
192.168.206.1, 2013-11-06 21:56:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001410
192.168.206.1, 2013-11-06 21:58:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.152345
192.168.206.1, 2013-11-06 21:58:18, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002469
192.168.206.1, 2013-11-06 21:58:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001511
192.168.206.1, 2013-11-06 21:58:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000900
192.168.206.1, 2013-11-06 21:58:18, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003519
192.168.206.1, 2013-11-06 21:58:18, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001192
